"Alumno","Indicador 22"
"171.2904.004","3.34"
"201.3602.007","2.28"
"171.0606.013","2.98"
"191.0306.014","1.81"
"201.1505.001","2.71"
"191.0804.010","2.29"
"151.1304.474","2.76"
"181.1306.006","4"
"181.1405.026","3.03"
"211.0306.051","1.89"
"181.2503.006","2.76"
"211.1006.014","0.48"
"191.0105.003","2.63"
"181.0606.021","3.32"
"151.0204.305","2.94"
"181.0306.074","2.42"
"151.0704.477","2.85"
"201.3602.017","2.55"
"171.0606.062","2.9"
"191.0906.035","2.45"
"191.1405.073","3.19"
"191.1205.026","3.15"
"151.0605.003","2.92"
"171.1106.059","3.87"
"191.1205.018","1.59"
"191.1405.042","2.64"
"191.1405.087","2.3"
"181.2503.072","2.68"
"191.2503.073","1.74"
"201.0804.043","1.99"
"171.0706.078","3.21"
"191.1205.078","3.05"
"191.1306.010","1.42"
"181.1606.040","3.65"
"191.3602.060","2.06"
"191.0606.047","3.32"
"161.0904.250","2.51"
"112.0904.330","2.39"
"181.1606.051","3.87"
"151.0605.462","2.82"
"201.1006.005","2.71"
"191.0105.013","2.71"
"102.0904.376","1.85"
"191.1405.092","2.37"
"191.0306.072","2.91"
"171.0706.037","2.75"
"191.1606.049","4.1"
"181.0606.058","2.74"
"191.0606.045","2.61"
"171.0804.004","3.09"
"181.0706.063","3.24"
"171.1106.065","3.69"
"181.0306.017","2.17"
"201.2405.012","2.54"
"211.3602.063","1.49"
"201.1306.026","2.21"
"112.0304.273","2.2"
"131.0304.409","2.3"
"01.0284.1.EO","1.71"
"151.0704.461","2.83"
"112.0802.377","1.88"
"171.0804.014","3.16"
"181.1106.018","3.61"
"181.1205.011","2.74"
"191.1205.073","3.59"
"191.3402.030","2.35"
"132.0503.008","3.42"
"161.0802.811","2.52"
"191.0804.026","3.13"
"211.0906.108","1.39"
"171.1306.004","3.1"
"211.1205.014","1.87"
"181.2503.041","2.91"
"092.0605.023","2.42"
"171.3402.046","3.45"
"171.3602.027","3.01"
"211.2503.048","2.05"
"211.0906.049","0.63"
"072.0709.246","1.77"
"191.1205.081","3.29"
"201.1505.037","2.65"
"181.3602.049","2.72"
"181.3503.026","1.84"
"151.0605.704","1.81"
"211.1106.032","1.8"
"181.1306.050","3.57"
"091.1604.434","2.11"
"211.1606.035","1.88"
"201.2806.035","1.33"
"161.1604.860","3.44"
"191.0906.014","2.65"
"191.1405.016","3.13"
"181.0306.040","2.19"
"171.0706.075","2.69"
"211.0706.046","1.37"
"211.2806.015","2"
"181.0405.037","3.28"
"181.0906.031","2.83"
"181.1405.034","3.37"
"181.1405.062","3.01"
"151.0204.292","2.52"
"171.1505.043","3.26"
"201.2405.005","2.6"
"211.0906.114","3.19"
"132.1503.213","2.77"
"151.1604.281","3.99"
"181.2503.004","3.26"
"161.3502.440","3.26"
"161.1503.744","3.06"
"181.1606.015","3.73"
"181.0105.013","3.23"
"211.0105.023","2.21"
"171.0206.026","3.17"
"211.0804.067","1.42"
"211.1106.006","1.52"
"181.1606.038","3.76"
"151.0605.714","2.61"
"171.2904.031","3.09"
